,TopHitNum,DriftRate,SNR,Freq,ChanIndx,FreqStart,FreqEnd,CoarseChanNum,FullNumHitsInRange,FileID,Source,MJD,RA,DEC,DELTAT,DELTAF,Hit_ID,status,in_n_ons,RFI_in_range,delta_t
0,1,-0.047832,54.297007,1875.119301,481588,1875.1209350000001,1875.1176719999999,0,13458,blc72_guppi_58832_16209_MESSIER031_0057.gpuspec.0000.h5,MESSIER031,58832.187604166669,0h42m44.448s,41d16m03.72s,18.253611,-2.793968,,on_table_1,,,0.0
39,40,-0.019133,13.567493,1784.649578,356107,1784.6512129999999,1784.64795,31,13176,blc72_guppi_58832_16209_MESSIER031_0057.gpuspec.0000.h5,MESSIER031,58832.187604166669,0h42m44.448s,41d16m03.72s,18.253611,-2.793968,,on_table_1,,,0.0
78,79,-0.038266,11.953422,1695.420366,835206,1695.4220010000001,1695.4187370000002,61,13172,blc72_guppi_58832_16209_MESSIER031_0057.gpuspec.0000.h5,MESSIER031,58832.187604166669,0h42m44.448s,41d16m03.72s,18.253611,-2.793968,,on_table_1,,,0.0
82,83,-0.009566,69.009275,1692.042325,995678,1692.0439600000002,1692.040696,62,14231,blc72_guppi_58832_16209_MESSIER031_0057.gpuspec.0000.h5,MESSIER031,58832.187604166669,0h42m44.448s,41d16m03.72s,18.253611,-2.793968,,on_table_1,,,0.0
85,1,-0.009566,36.29089,1875.119273,481598,1875.1209079999999,1875.1176440000002,0,13330,blc72_guppi_58832_16851_MESSIER031_0059.gpuspec.0000.h5,MESSIER031,58832.195034722223,0h42m40.968s,41d14m00.6s,18.253611,-2.793968,,on_table_2,,,641.999999829568
123,39,-0.009566,19.267853,1784.649567,356111,1784.651202,1784.6479379999998,31,13181,blc72_guppi_58832_16851_MESSIER031_0059.gpuspec.0000.h5,MESSIER031,58832.195034722223,0h42m40.968s,41d14m00.6s,18.253611,-2.793968,,on_table_2,,,641.999999829568
162,78,-0.019133,13.444079,1695.420344,835214,1695.421978,1695.4187149999998,61,13176,blc72_guppi_58832_16851_MESSIER031_0059.gpuspec.0000.h5,MESSIER031,58832.195034722223,0h42m40.968s,41d14m00.6s,18.253611,-2.793968,,on_table_2,,,641.999999829568
165,81,-0.019133,41.404335,1692.04232,995680,1692.043954,1692.040691,62,13242,blc72_guppi_58832_16851_MESSIER031_0059.gpuspec.0000.h5,MESSIER031,58832.195034722223,0h42m40.968s,41d14m00.6s,18.253611,-2.793968,,on_table_2,,,641.999999829568
206,39,-0.009566,20.723231,1784.649562,356113,1784.651196,1784.6479329999997,31,13179,blc72_guppi_58832_17485_MESSIER031_0061.gpuspec.0000.h5,MESSIER031,58832.202372685184,0h42m44.448s,41d15m39.24s,18.253611,-2.793968,,on_table_3,,,1275.9999996749684
216,49,0.009566,95.258382,1758.396918,315116,1758.3985530000002,1758.39529,40,13751,blc72_guppi_58832_17485_MESSIER031_0061.gpuspec.0000.h5,MESSIER031,58832.202372685184,0h42m44.448s,41d15m39.24s,18.253611,-2.793968,,on_table_3,,,1275.9999996749684
